['4174005250435', '77', 'Избирательная комиссия Республики Тыва', 'Единый округ', 'Каа-Хемская (по округу №15)', 'УИК №77', '1548', '1500', '0', '1018', '215', '267', '215', '1018', '49', '1184', '0', '0', '207', '56', '67', '772', '82']
['4174005250436', '78', 'Избирательная комиссия Республики Тыва', 'Единый округ', 'Каа-Хемская (по округу №15)', 'УИК №78', '523', '590', '0', '468', '43', '79', '43', '468', '0', '511', '0', '0', '7', '3', '16', '481', '4']
['4174005250437', '79', 'Избирательная комиссия Республики Тыва', 'Единый округ', 'Каа-Хемская (по округу №15)', 'УИК №79', '320', '345', '46', '249', '24', '26', '70', '249', '0', '319', '0', '0', '1', '2', '8', '304', '4']
['4174005250438', '80', 'Избирательная комиссия Республики Тыва', 'Единый округ', 'Каа-Хемская (по округу №15)', 'УИК №80', '91', '110', '0', '83', '1', '26', '1', '83', '1', '83', '0', '0', '15', '3', '9', '54', '2']
['4174005250439', '81', 'Избирательная комиссия Республики Тыва', 'Единый округ', 'Каа-Хемская (по округу №15)', 'УИК №81', '205', '207', '40', '162', '3', '2', '43', '162', '0', '205', '0', '0', '9', '0', '3', '193', '0']
['4174005250440', '82', 'Избирательная комиссия Республики Тыва', 'Единый округ', 'Каа-Хемская (по округу №15)', 'УИК №82', '134', '136', '0', '112', '0', '24', '0', '112', '0', '112', '0', '0', '3', '1', '2', '104', '2']
['4174005250441', '83', 'Избирательная комиссия Республики Тыва', 'Единый округ', 'Каа-Хемская (по округу №15)', 'УИК №83', '90', '92', '0', '87', '0', '5', '0', '87', '0', '87', '0', '0', '0', '0', '2', '85', '0']
['4174005250442', '84', 'Избирательная комиссия Республики Тыва', 'Единый округ', 'Каа-Хемская (по округу №15)', 'УИК №84', '515', '529', '5', '366', '11', '147', '16', '366', '13', '369', '0', '0', '32', '29', '55', '219', '34']
['4174005250443', '85', 'Избирательная комиссия Республики Тыва', 'Единый округ', 'Каа-Хемская (по округу №15)', 'УИК №85', '416', '462', '58', '320', '14', '70', '72', '320', '12', '380', '0', '0', '28', '20', '56', '258', '18']
['4174006282559', '3', 'Избирательная комиссия Республики Тыва', 'Единый округ', 'Кызылская городская (по округу №5)', 'УИК №3', '2252', '2200', '0', '1064', '206', '930', '206', '980', '26', '1160', '0', '0', '224', '44', '63', '715', '114']
['4174006282561', '4', 'Избирательная комиссия Республики Тыва', 'Единый округ', 'Кызылская городская (по округу №5)', 'УИК №4', '2635', '2400', '0', '1869', '3', '528', '3', '1869', '22', '1850', '0', '0', '99', '61', '51', '1596', '43']
['4174006282563', '7', 'Избирательная комиссия Республики Тыва', 'Единый округ', 'Кызылская городская (по округу №5)', 'УИК №7', '2292', '2300', '0', '1593', '32', '675', '32', '1593', '16', '1609', '0', '0', '148', '52', '57', '1280', '72']
['4174006282565', '8', 'Избирательная комиссия Республики Тыва', 'Единый округ', 'Кызылская городская (по округу №5)', 'УИК №8', '2797', '2500', '0', '1042', '21', '1437', '21', '1042', '40', '1023', '0', '0', '160', '7', '82', '739', '35']
['4174006282567', '9', 'Избирательная комиссия Республики Тыва', 'Единый округ', 'Кызылская городская (по округу №5)', 'УИК №9', '2158', '2200', '0', '1553', '7', '640', '7', '1553', '24', '1536', '0', '0', '102', '9', '83', '1275', '67']
['4174006282569', '5', 'Избирательная комиссия Республики Тыва', 'Единый округ', 'Кызылская городская (по округу №4)', 'УИК №5', '2792', '2400', '0', '2125', '26', '249', '26', '2125', '20', '2131', '0', '0', '185', '15', '102', '1819', '10']
['4174006282571', '6', 'Избирательная комиссия Республики Тыва', 'Единый округ', 'Кызылская городская (по округу №4)', 'УИК №6', '2111', '1643', '0', '1486', '8', '149', '8', '1473', '28', '1453', '0', '0', '428', '72', '149', '712', '92']
['4174006282573', '10', 'Избирательная комиссия Республики Тыва', 'Единый округ', 'Кызылская городская (по округу №4)', 'УИК №10', '2274', '2000', '0', '1835', '7', '158', '7', '1835', '24', '1818', '0', '0', '56', '56', '61', '1586', '59']
['4174006282575', '24', 'Избирательная комиссия Республики Тыва', 'Единый округ', 'Кызылская городская (по округу №4)', 'УИК №24', '1808', '1800', '0', '799', '453', '548', '453', '799', '25', '1227', '0', '0', '54', '36', '98', '974', '65']
['4174006282577', '25', 'Избирательная комиссия Республики Тыва', 'Единый округ', 'Кызылская городская (по округу №4)', 'УИК №25', '1678', '1500', '0', '928', '10', '562', '10', '928', '8', '930', '0', '0', '197', '66', '26', '590', '51']
['4174006282579', '32', 'Избирательная комиссия Республики Тыва', 'Единый округ', 'Кызылская городская (по округу №4)', 'УИК №32', '2101', '2000', '0', '1015', '180', '805', '177', '1017', '27', '1167', '0', '0', '298', '62', '132', '599', '76']
['4174006282581', '11', 'Избирательная комиссия Республики Тыва', 'Единый округ', 'Кызылская городская (по округу №3)', 'УИК №11', '1736', '1500', '0', '669', '25', '806', '25', '669', '20', '674', '0', '0', '248', '37', '66', '260', '63']
['4174006282583', '12', 'Избирательная комиссия Республики Тыва', 'Единый округ', 'Кызылская городская (по округу №3)', 'УИК №12', '1606', '1500', '0', '1102', '22', '376', '22', '1102', '16', '1108', '0', '0', '29', '11', '37', '998', '33']
['4174006282585', '13', 'Избирательная комиссия Республики Тыва', 'Единый округ', 'Кызылская городская (по округу №3)', 'УИК №13', '1903', '1800', '0', '840', '282', '678', '282', '840', '45', '1077', '0', '0', '38', '23', '137', '842', '37']
['4174006282587', '14', 'Избирательная комиссия Республики Тыва', 'Единый округ', 'Кызылская городская (по округу №3)', 'УИК №14', '2562', '2200', '0', '1714', '155', '331', '155', '1714', '34', '1835', '0', '0', '89', '69', '132', '1458', '87']
['4174006282588', '15', 'Избирательная комиссия Республики Тыва', 'Единый округ', 'Кызылская городская (по округу №3)', 'УИК №15', '1943', '2000', '0', '1078', '44', '878', '44', '1078', '35', '1087', '0', '0', '354', '90', '144', '388', '111']
['4174006282589', '16', 'Избирательная комиссия Республики Тыва', 'Единый округ', 'Кызылская городская (по округу №3)', 'УИК №16', '2527', '2300', '0', '1004', '385', '911', '385', '1004', '71', '1318', '0', '0', '62', '9', '82', '1033', '132']
['4174006282599', '18', 'Избирательная комиссия Республики Тыва', 'Единый округ', 'Кызылская городская (по округу №1)', 'УИК №18', '1650', '1600', '0', '1353', '11', '236', '11', '1353', '16', '1348', '0', '0', '32', '12', '26', '1250', '28']
['4174006282600', '19', 'Избирательная комиссия Республики Тыва', 'Единый округ', 'Кызылская городская (по округу №1)', 'УИК №19', '3232', '2600', '0', '1441', '221', '938', '221', '1441', '36', '1626', '0', '0', '518', '68', '139', '729', '172']
['4174006282601', '20', 'Избирательная комиссия Республики Тыва', 'Единый округ', 'Кызылская городская (по округу №1)', 'УИК №20', '1808', '1500', '0', '1181', '29', '290', '29', '1181', '23', '1187', '0', '0', '72', '4', '85', '977', '49']
['4174006282602', '28', 'Избирательная комиссия Республики Тыва', 'Единый округ', 'Кызылская городская (по округу №1)', 'УИК №28', '1855', '1500', '0', '1384', '64', '52', '64', '1189', '13', '1240', '0', '0', '45', '38', '105', '926', '126']
['4174006282603', '29', 'Избирательная комиссия Республики Тыва', 'Единый округ', 'Кызылская городская (по округу №1)', 'УИК №29', '1707', '1500', '7', '906', '4', '583', '8', '906', '27', '887', '0', '0', '332', '72', '63', '327', '93']
['4174006282604', '30', 'Избирательная комиссия Республики Тыва', 'Единый округ', 'Кызылская городская (по округу №1)', 'УИК №30', '2962', '2500', '0', '1724', '40', '736', '40', '1684', '14', '1710', '0', '0', '51', '34', '35', '1522', '68']
['4174006282605', '31', 'Избирательная комиссия Республики Тыва', 'Единый округ', 'Кызылская городская (по округу №1)', 'УИК №31', '2788', '2500', '0', '1123', '13', '1364', '13', '1120', '29', '1104', '0', '0', '71', '56', '71', '793', '113']
['4174006282606', '184', 'Избирательная комиссия Республики Тыва', 'Единый округ', 'Кызылская городская (по округу №1)', 'УИК №184', '812', '1050', '375', '437', '0', '238', '375', '437', '17', '795', '0', '0', '24', '2', '21', '723', '25']
['4174006282555', '1', 'Избирательная комиссия Республики Тыва', 'Единый округ', 'Кызылская городская (по округу №6) ', 'УИК №1', '1047', '2100', '0', '1027', '20', '1053', '19', '1027', '41', '1005', '0', '0', '97', '9', '98', '732', '69']
['4174006282557', '2', 'Избирательная комиссия Республики Тыва', 'Единый округ', 'Кызылская городская (по округу №6) ', 'УИК №2', '2830', '2600', '0', '1821', '53', '726', '53', '1821', '127', '1747', '0', '0', '63', '37', '62', '1492', '93']
['4174006282591', '17', 'Избирательная комиссия Республики Тыва', 'Единый округ', 'Кызылская городская (по округу №2)', 'УИК №17', '1851', '1600', '0', '1216', '7', '377', '7', '1216', '38', '1185', '0', '0', '51', '26', '47', '1034', '27']
['4174006282592', '21', 'Избирательная комиссия Республики Тыва', 'Единый округ', 'Кызылская городская (по округу №2)', 'УИК №21', '1577', '1700', '0', '807', '1', '892', '1', '807', '6', '802', '0', '0', '36', '14', '45', '691', '16']
['4174006282593', '22', 'Избирательная комиссия Республики Тыва', 'Единый округ', 'Кызылская городская (по округу №2)', 'УИК №22', '1648', '1500', '0', '1481', '4', '15', '4', '1481', '3', '1482', '0', '0', '43', '45', '65', '1285', '44']
['4174006282594', '23', 'Избирательная комиссия Республики Тыва', 'Единый округ', 'Кызылская городская (по округу №2)', 'УИК №23', '2465', '2100', '0', '1332', '23', '745', '23', '1332', '63', '1292', '0', '0', '120', '4', '166', '965', '37']
['4174006282595', '26', 'Избирательная комиссия Республики Тыва', 'Единый округ', 'Кызылская городская (по округу №2)', 'УИК №26', '2400', '2000', '0', '1198', '13', '789', '13', '1198', '24', '1187', '0', '0', '312', '101', '106', '638', '30']
['4174006282596', '27', 'Избирательная комиссия Республики Тыва', 'Единый округ', 'Кызылская городская (по округу №2)', 'УИК №27', '1770', '1800', '0', '862', '22', '916', '22', '862', '19', '865', '0', '0', '255', '32', '117', '425', '36']
['4174006282597', '186', 'Избирательная комиссия Республики Тыва', 'Единый округ', 'Кызылская городская (по округу №2)', 'УИК №186', '166', '160', '0', '137', '9', '14', '9', '137', '2', '144', '0', '0', '4', '4', '2', '129', '5']
['4174006282684', '185', 'Избирательная комиссия Республики Тыва', 'Единый округ', 'Кызылская городская (по округу №14)', 'УИК №185', '113', '176', '0', '81', '32', '63', '32', '81', '0', '113', '0', '0', '4', '4', '15', '76', '14']
['4174007211111', '86', 'Избирательная комиссия Республики Тыва', 'Единый округ', 'Кызылская (по округу №6)', 'УИК №86', '2300', '2300', '0', '1217', '82', '1001', '82', '1216', '48', '1250', '0', '0', '382', '88', '116', '580', '84']
['4174007211113', '87', 'Избирательная комиссия Республики Тыва', 'Единый округ', 'Кызылская (по округу №6)', 'УИК №87', '2344', '2280', '0', '993', '35', '1252', '35', '992', '35', '992', '0', '0', '332', '65', '130', '385', '80']
['4174007211115', '88', 'Избирательная комиссия Республики Тыва', 'Единый округ', 'Кызылская (по округу №6)', 'УИК №88', '2710', '2700', '0', '1575', '95', '1030', '95', '1575', '22', '1648', '0', '0', '200', '46', '73', '1312', '17']
['4174007211117', '89', 'Избирательная комиссия Республики Тыва', 'Единый округ', 'Кызылская (по округу №6)', 'УИК №89', '2856', '2744', '0', '1450', '39', '1255', '39', '1431', '84', '1386', '0', '0', '453', '74', '93', '664', '102']
['4174007211072', '90', 'Избирательная комиссия Республики Тыва', 'Единый округ', 'Кызылская (по округу №13)', 'УИК №90', '695', '760', '132', '497', '11', '120', '143', '497', '4', '636', '0', '0', '40', '14', '23', '545', '14']
['4174007211074', '91', 'Избирательная комиссия Республики Тыва', 'Единый округ', 'Кызылская (по округу №13)', 'УИК №91', '630', '676', '0', '465', '25', '186', '25', '465', '24', '466', '0', '0', '65', '16', '34', '323', '28']
['4174007211076', '94', 'Избирательная комиссия Республики Тыва', 'Единый округ', 'Кызылская (по округу №13)', 'УИК №94', '848', '860', '0', '629', '92', '139', '92', '629', '11', '710', '0', '0', '61', '26', '56', '550', '17']
['4174007211078', '95', 'Избирательная комиссия Республики Тыва', 'Единый округ', 'Кызылская (по округу №13)', 'УИК №95', '341', '350', '0', '274', '67', '9', '67', '274', '0', '341', '0', '0', '5', '3', '4', '323', '6']
['4174007211080', '96', 'Избирательная комиссия Республики Тыва', 'Единый округ', 'Кызылская (по округу №13)', 'УИК №96', '1224', '1434', '0', '920', '47', '467', '47', '920', '11', '956', '0', '0', '37', '14', '45', '811', '49']
['4174007211082', '97', 'Избирательная комиссия Республики Тыва', 'Единый округ', 'Кызылская (по округу №13)', 'УИК №97', '722', '990', '0', '704', '18', '268', '18', '704', '20', '702', '0', '0', '74', '34', '82', '455', '57']
['4174007211119', '92', 'Избирательная комиссия Республики Тыва', 'Единый округ', 'Кызылская (по округу №11)', 'УИК №92', '639', '716', '156', '473', '10', '77', '166', '473', '0', '639', '0', '0', '12', '7', '15', '584', '21']
['4174007211121', '93', 'Избирательная комиссия Республики Тыва', 'Единый округ', 'Кызылская (по округу №11)', 'УИК №93', '261', '290', '0', '218', '40', '32', '40', '218', '0', '258', '0', '0', '3', '1', '19', '227', '8']
['4174007211123', '98', 'Избирательная комиссия Республики Тыва', 'Единый округ', 'Кызылская (по округу №11)', 'УИК №98', '741', '770', '142', '460', '12', '156', '154', '460', '24', '590', '0', '0', '47', '49', '46', '425', '23']
['4174007211125', '99', 'Избирательная комиссия Республики Тыва', 'Единый округ', 'Кызылская (по округу №11)', 'УИК №99', '652', '720', '0', '618', '25', '77', '25', '618', '22', '621', '0', '0', '94', '27', '32', '442', '26']
['4174008132646', '100', 'Избирательная комиссия Республики Тыва', 'Единый округ', 'Монгун-Тайгинская (по округу №8)', 'УИК №100', '1699', '1700', '486', '1156', '50', '8', '536', '1155', '7', '1684', '0', '0', '9', '48', '21', '1580', '26']
['4174008132648', '101', 'Избирательная комиссия Республики Тыва', 'Единый округ', 'Монгун-Тайгинская (по округу №8)', 'УИК №101', '1288', '1302', '117', '1060', '94', '31', '211', '1060', '2', '1269', '0', '0', '18', '3', '23', '1168', '57']
['4174008132650', '102', 'Избирательная комиссия Республики Тыва', 'Единый округ', 'Монгун-Тайгинская (по округу №8)', 'УИК №102', '857', '870', '176', '651', '30', '13', '206', '651', '1', '856', '0', '0', '4', '0', '7', '842', '3']
['4174009157211', '103', 'Избирательная комиссия Республики Тыва', 'Единый округ', 'Овюрская (по округу №9)', 'УИК №103', '295', '310', '106', '174', '15', '15', '121', '174', '0', '295', '0', '0', '2', '0', '0', '288', '5']
['4174009157213', '104', 'Избирательная комиссия Республики Тыва', 'Единый округ', 'Овюрская (по округу №9)', 'УИК №104', '409', '440', '154', '240', '15', '31', '169', '240', '2', '407', '0', '0', '1', '0', '8', '393', '5']
['4174009157215', '105', 'Избирательная комиссия Республики Тыва', 'Единый округ', 'Овюрская (по округу №9)', 'УИК №105', '528', '575', '120', '226', '15', '214', '135', '226', '0', '361', '0', '0', '1', '6', '3', '327', '24']
['4174009157217', '106', 'Избирательная комиссия Республики Тыва', 'Единый округ', 'Овюрская (по округу №9)', 'УИК №106', '2465', '2392', '608', '1462', '44', '278', '652', '1308', '45', '1915', '0', '0', '160', '58', '32', '1581', '84']
['4174009157219', '107', 'Избирательная комиссия Республики Тыва', 'Единый округ', 'Овюрская (по округу №9)', 'УИК №107', '655', '700', '272', '331', '20', '77', '292', '331', '9', '614', '0', '0', '27', '6', '9', '561', '11']
['4174009157221', '108', 'Избирательная комиссия Республики Тыва', 'Единый округ', 'Овюрская (по округу №9)', 'УИК №108', '449', '550', '159', '244', '13', '134', '171', '244', '11', '404', '0', '0', '30', '11', '13', '336', '14']
['4174010175069', '109', 'Избирательная комиссия Республики Тыва', 'Единый округ', 'Пий-Хемская (по округу №14)', 'УИК №109', '693', '732', '0', '240', '58', '434', '58', '240', '3', '295', '0', '0', '5', '1', '4', '280', '5']
